Orginal file ID, File name, Get file info status, Orginal org name, Orginal domain, Get orginal org status, Download file status, New org ID, New org name, New org domain, Get new org status, Upload file status, Upload file note
695915, Pitch deck The FAT Company.pdf, 200, FAT, intelligentcooking.ch, 200, 200, 282296167, FAT,  , 200, 200, {'success': True}
695862, Pitch deck The FAT Company.pdf, 200, FAT, intelligentcooking.ch, 200, 200, 282296167, FAT,  , 200, 200, {'success': True}
708583, Pitch deck The FAT Company.pdf, 200, FAT, intelligentcooking.ch, 200, 200, 282296167, FAT,  , 200, 200, {'success': True}
715790, The Prescription Juice Farmacy FINAL 10.31.pdf, 200, Food Therapy MD, foodtherapymd.com, 200, 200, 278654433, FoodTherapyMD,  , 200, 200, {'success': True}
715904, Plan V Foods, LLC Pitch Deck v4 2019.pdf, 200, Plan V Foods,  , 200, 200, 279197726, Plan V Foods,  , 200, 200, {'success': True}
695556, Miiro one-pager.pdf, 200, MiiRO Plant Based, miiro.co.uk, 200, 200, 279046451, Miiro,  , 200, 200, {'success': True}
695507, Assumptions.xlsx, 200, MiiRO Plant Based, miiro.co.uk, 200, 200, 279046451, Miiro,  , 200, 200, {'success': True}
723362, ZIKOOINcompany_pamphlet_UNLIMEAT_compressed.pdf, 200, Zikooin (Unlimeat), zikooin-market.com, 200, 200, 263062411, Zikooin Company,  , 200, 200, {'success': True}
731635, 2018.04.18TRYPTOPHAN GUMMIES_TECHNICAL DATA NUTRIS v4.pdf, 200, Drink 6, drink6.com, 200, 200, 282162698, Drink 6,  , 200, 200, {'success': True}
731634, 2018.04.18GASTROINTESTINAL TRANSIT GUMMIES_TECHNICAL DATA NUTRIS v4.pdf, 200, Drink 6, drink6.com, 200, 200, 282162698, Drink 6,  , 200, 200, {'success': True}
731633, 2018.04.18 THERMOGENIC GUMMIES_TECHNICAL DATA NUTRIS V5.pdf, 200, Drink 6, drink6.com, 200, 200, 282162698, Drink 6,  , 200, 200, {'success': True}
731632, MHW-Drink6-Deck-Plan expansion 09-2019 final.pdf, 200, Drink 6, drink6.com, 200, 200, 282162698, Drink 6,  , 200, 200, {'success': True}
731638, BP FOCS 2020_ENG 1.pdf, 200, OKSEN, oksen.fr, 200, 200, 279006253, Oksen,  , 200, 200, {'success': True}
709875, Simple Optimum Pitch Deck v1.54.pdf, 200, Simple Optimum, simpleoptimum.com, 200, 200, 279170112, Simple+Optimum,  , 200, 200, {'success': True}
709892, veegan LLC - PitchDeck.pdf, 200, Veegan LLC,  , 200, 200
